House,hse_type,region,DHW filename,DHW multiplier,Dryer filename,Dryer multiplier,Stove-Other filename,Stove-Other multiplier
2211A00020,2-DR,5-BC,DHW_100_Lpd,1.37728767123288,Dryer-low,0.00,Stove-high,1.55
2211A00036,2-DR,5-BC,DHW_200_Lpd,0.980397260273973,Dryer-low,0.99,Stove-high,1.14
2211A00064,2-DR,5-BC,DHW_200_Lpd,0.822479452054795,Dryer-low,0.47,Stove-med,1.14
2211A00114,2-DR,5-BC,DHW_200_Lpd,0.879479452054794,Dryer-low,0.61,Stove-high,1.51
2211A00159,2-DR,5-BC,DHW_200_Lpd,0.906191780821918,Dryer-med,1.19,Stove-high,1.52
2211A00181,2-DR,5-BC,DHW_100_Lpd,1.39079452054795,Dryer-low,0.51,Stove-high,0.98
2211A00200,2-DR,5-BC,DHW_200_Lpd,0.921712328767123,Dryer-low,0.88,Stove-high,1.50
2211A00202,2-DR,5-BC,DHW_200_Lpd,0.764219178082192,Dryer-low,0.48,Stove-high,0.91
2211A00210,2-DR,5-BC,DHW_100_Lpd,1.49964383561644,Dryer-low,0.34,Stove-high,1.48
2211A00310,2-DR,5-BC,DHW_200_Lpd,0.779342465753425,Dryer-high,0.95,Stove-high,0.83
2213A00121,2-DR,5-BC,DHW_100_Lpd,1.2598904109589,Dryer-low,0.75,Stove-high,0.85
2213A00334,2-DR,5-BC,DHW_100_Lpd,1.42202739726027,Dryer-low,1.00,Stove-high,1.33
2213A00357,2-DR,5-BC,DHW_200_Lpd,0.899753424657534,Dryer-high,1.13,Stove-high,0.87
2213A00456,2-DR,5-BC,DHW_200_Lpd,0.911150684931507,Dryer-low,0.78,Stove-high,1.45
2213A00462,2-DR,5-BC,DHW_200_Lpd,0.774356164383562,Dryer-low,0.63,Stove-med,1.21
2213A00463,2-DR,5-BC,DHW_200_Lpd,0.880452054794521,Dryer-med,0.94,Stove-high,0.84
2213A00484,2-DR,5-BC,DHW_200_Lpd,0.80686301369863,Dryer-low,0.93,Stove-high,1.37
2213A00489,2-DR,5-BC,DHW_100_Lpd,1.39923287671233,Dryer-high,1.14,Stove-high,1.23
2213A00490,2-DR,5-BC,DHW_100_Lpd,1.44438356164384,Dryer-med,1.11,Stove-med,1.10
2213A00595,2-DR,5-BC,DHW_200_Lpd,0.981561643835616,Dryer-low,0.00,Stove-high,0.83
2213A00611,2-DR,5-BC,DHW_200_Lpd,0.874835616438356,Dryer-med,0.81,Stove-high,1.00
2213A00618,2-DR,5-BC,DHW_200_Lpd,0.855,Dryer-med,1.18,Stove-high,1.55
2213A00635,2-DR,5-BC,DHW_200_Lpd,0.788287671232877,Dryer-med,0.79,Stove-high,0.89
2213A00639,2-DR,5-BC,DHW_100_Lpd,1.48706849315069,Dryer-low,0.00,Stove-high,2.21
2213A00641,2-DR,5-BC,DHW_100_Lpd,1.33928767123288,Dryer-low,0.58,Stove-high,2.84
2213A00739,2-DR,5-BC,DHW_200_Lpd,1.00361643835616,Dryer-med,0.89,Stove-high,1.35
2213A00741,2-DR,5-BC,DHW_100_Lpd,1.42372602739726,Dryer-low,0.62,Stove-high,0.93
2213A00754,2-DR,5-BC,DHW_200_Lpd,0.93858904109589,Dryer-low,0.00,Stove-high,1.06
2213A00769,2-DR,5-BC,DHW_100_Lpd,1.30380821917808,Dryer-low,1.54,Stove-med,1.17
2213A00808,2-DR,5-BC,DHW_200_Lpd,0.827547945205479,Dryer-low,0.00,Stove-high,1.09
2213A00809,2-DR,5-BC,DHW_200_Lpd,0.935219178082192,Dryer-low,1.37,Stove-high,1.47
2213A00826,2-DR,5-BC,DHW_100_Lpd,1.41106849315068,Dryer-med,1.12,Stove-high,0.92
2213A00843,2-DR,5-BC,DHW_100_Lpd,1.28860273972603,Dryer-low,1.33,Stove-high,1.68
2213A00866,2-DR,5-BC,DHW_200_Lpd,0.827698630136986,Dryer-low,0.00,Stove-high,0.85
2213A01328,2-DR,5-BC,DHW_100_Lpd,1.12057534246575,Dryer-med,0.97,Stove-high,1.29
2213A01504,2-DR,5-BC,DHW_100_Lpd,1.22695890410959,Dryer-med,1.17,Stove-high,1.34
2213A01560,2-DR,5-BC,DHW_200_Lpd,1.12521917808219,Dryer-med,0.87,Stove-high,1.13
2213A01592,2-DR,5-BC,DHW_100_Lpd,1.3358904109589,Dryer-low,0.29,Stove-med,0.98
2213A01598,2-DR,5-BC,DHW_100_Lpd,1.48115068493151,Dryer-med,0.76,Stove-high,1.21
2213A01620,2-DR,5-BC,DHW_100_Lpd,1.38909589041096,Dryer-high,1.07,Stove-high,1.18
2213A01660,2-DR,5-BC,DHW_200_Lpd,0.776041095890411,Dryer-med,1.07,Stove-high,0.94
2213A01665,2-DR,5-BC,DHW_200_Lpd,0.862178082191781,Dryer-low,1.15,Stove-high,1.66
2213A01674,2-DR,5-BC,DHW_200_Lpd,0.875424657534247,Dryer-med,1.14,Stove-high,0.95
2213A01815,2-DR,5-BC,DHW_100_Lpd,1.44060273972603,Dryer-low,1.49,Stove-med,1.27
2213A01823,2-DR,5-BC,DHW_100_Lpd,1.47608219178082,Dryer-low,0.93,Stove-high,1.09
2213A01833,2-DR,5-BC,DHW_200_Lpd,0.878219178082192,Dryer-med,0.88,Stove-med,1.26
2213A01849,2-DR,5-BC,DHW_200_Lpd,0.922547945205479,Dryer-low,0.47,Stove-high,1.42
2213A01885,2-DR,5-BC,DHW_200_Lpd,0.862178082191781,Dryer-low,0.90,Stove-high,2.17
2213A01907,2-DR,5-BC,DHW_200_Lpd,0.755767123287671,Dryer-low,0.00,Stove-high,1.70
2213A01916,2-DR,5-BC,DHW_200_Lpd,0.770547945205479,Dryer-low,0.89,Stove-high,1.38
