Reading ../../NN/NN_model/ALC-Inputs-V2.csv - Complete
Reading in the occupant start state XML - Complete
Loading the activity statistics - Complete
Starting the search at Tue Oct 27 11:31:53 2015
True Error 640.702882216825, average of 3289.60288221683 kWh
True Error 529.573084684137, average of 3178.47308468414 kWh
True Error 416.658980288007, average of 3065.55898028801 kWh
True Error 663.164593801119, average of 3312.06459380112 kWh
True Error 381.173431424689, average of 3030.07343142469 kWh
True Error 670.254910089639, average of 3319.15491008964 kWh
True Error 365.392137241605, average of 3014.2921372416 kWh
True Error 1040.66619830756, average of 3689.56619830756 kWh
True Error 468.353332546807, average of 3117.25333254681 kWh
True Error 687.164745873105, average of 3336.06474587311 kWh
True Error 411.382002832967, average of 3060.28200283297 kWh
True Error 756.869184646094, average of 3405.76918464609 kWh
True Error 615.970929296772, average of 3264.87092929677 kWh
True Error 637.015584128746, average of 3285.91558412875 kWh
True Error 565.677212330298, average of 3214.5772123303 kWh
True Error 744.490122068366, average of 3393.39012206837 kWh
Finished computing first internal point at Tue Oct 27 13:33:43 2015
True Error 94.3889206792542, average of 2743.28892067925 kWh
True Error 69.2148428578303, average of 2579.68515714217 kWh
True Error 107.300165738659, average of 2541.59983426134 kWh
True Error 89.7349434623925, average of 2738.63494346239 kWh
True Error 8.51087786055905, average of 2657.41087786056 kWh
True Error 9.22576014034439, average of 2639.67423985966 kWh
True Error 8.57684607562123, average of 2640.32315392438 kWh
True Error 50.1852282060026, average of 2699.085228206 kWh
True Error 43.679615095019, average of 2605.22038490498 kWh
True Error 89.686426605831, average of 2559.21357339417 kWh
True Error 131.610829879707, average of 2780.51082987971 kWh
True Error 429.839957352103, average of 3078.7399573521 kWh
True Error 116.255777683767, average of 2532.64422231623 kWh
True Error 104.6476836102, average of 2544.2523163898 kWh
True Error 101.122207035542, average of 2750.02220703554 kWh
True Error 51.4993084599264, average of 2700.39930845993 kWh
Finished computing second internal point at Tue Oct 27 15:44:45 2015
Tue Oct 27 15:44:45 2015: Minimum: 599.656833236046, Scalar: 1.454925, Error:65.633281999091
True Error 177.757109176492, average of 2471.14289082351 kWh
True Error 333.571791657232, average of 2315.32820834277 kWh
True Error 389.571570589542, average of 2259.32842941046 kWh
True Error 601.78245123997, average of 2047.11754876003 kWh
True Error 283.79320244668, average of 2365.10679755332 kWh
True Error 496.047537448186, average of 2152.85246255181 kWh
True Error 298.427406593911, average of 2350.47259340609 kWh
True Error 496.096326418216, average of 2152.80367358178 kWh
True Error 453.835981689515, average of 2195.06401831048 kWh
True Error 169.254123575683, average of 2479.64587642432 kWh
True Error 323.915188035394, average of 2324.98481196461 kWh
True Error 410.595090182774, average of 2238.30490981723 kWh
True Error 249.630261162704, average of 2399.2697388373 kWh
True Error 356.232165984745, average of 2292.66783401525 kWh
True Error 356.997570933824, average of 2291.90242906618 kWh
True Error 293.419008354631, average of 2355.48099164537 kWh
Tue Oct 27 17:57:58 2015: Minimum: 355.682924093094, Scalar: 1.09017229775, Error:54.1351248834981
