Reading ../../NN/NN_model/ALC-Inputs-V2.csv - Complete
Reading in the occupant start state XML - Complete
Loading the activity statistics - Complete
Starting the search at Tue Oct 27 17:07:35 2015
True Error 623.466480735718, average of 3275.76648073572 kWh
True Error 631.767563099711, average of 3284.06756309971 kWh
True Error 956.665687946292, average of 3608.96568794629 kWh
True Error 821.730153774781, average of 3474.03015377478 kWh
True Error 759.341599938378, average of 3411.64159993838 kWh
True Error 1301.01898147825, average of 3953.31898147825 kWh
True Error 915.900940171585, average of 3568.20094017158 kWh
True Error 1083.69867052071, average of 3735.99867052071 kWh
True Error 1096.50783546528, average of 3748.80783546528 kWh
True Error 892.54135808374, average of 3544.84135808374 kWh
True Error 1231.70788240604, average of 3884.00788240604 kWh
True Error 1041.42844626547, average of 3693.72844626547 kWh
True Error 1163.74753339021, average of 3816.04753339021 kWh
True Error 1006.99786185935, average of 3659.29786185935 kWh
True Error 1170.8403428903, average of 3823.1403428903 kWh
True Error 1006.19230222513, average of 3658.49230222513 kWh
Finished computing first internal point at Tue Oct 27 17:54:32 2015
True Error 205.861917818903, average of 2858.1619178189 kWh
True Error 300.204827954156, average of 2952.50482795416 kWh
True Error 118.614324988544, average of 2770.91432498854 kWh
True Error 264.254707320706, average of 2916.55470732071 kWh
True Error 10.4213446140639, average of 2641.87865538594 kWh
True Error 257.942409182935, average of 2910.24240918294 kWh
True Error 489.372930196718, average of 3141.67293019672 kWh
True Error 246.172815688002, average of 2898.472815688 kWh
True Error 148.671891914133, average of 2800.97189191413 kWh
True Error 298.506984908977, average of 2950.80698490898 kWh
True Error 261.621355105009, average of 2913.92135510501 kWh
True Error 417.248681371897, average of 3069.5486813719 kWh
True Error 365.280645218642, average of 3017.58064521864 kWh
True Error 429.533395604804, average of 3081.8333956048 kWh
True Error 384.529690449347, average of 3036.82969044935 kWh
True Error 356.67354233814, average of 3008.97354233814 kWh
Finished computing second internal point at Tue Oct 27 18:41:29 2015
Tue Oct 27 18:41:29 2015: Minimum: 981.472102515684, Scalar: 1.454925, Error:65.633281999091
True Error 250.017471677697, average of 2402.2825283223 kWh
True Error 242.686300528742, average of 2409.61369947126 kWh
True Error 291.336162856364, average of 2360.96383714364 kWh
True Error 214.403092711718, average of 2437.89690728828 kWh
True Error 180.720761670314, average of 2471.57923832969 kWh
True Error 20.4556877799041, average of 2631.8443122201 kWh
True Error 160.210593574239, average of 2492.08940642576 kWh
True Error 41.8669846007383, average of 2610.43301539926 kWh
True Error 255.449327187151, average of 2396.85067281285 kWh
True Error 29.0908920634001, average of 2681.3908920634 kWh
True Error 68.0196759621526, average of 2720.31967596215 kWh
True Error 28.0582387389318, average of 2624.24176126107 kWh
True Error 89.0568400852148, average of 2563.24315991479 kWh
True Error 170.017171110813, average of 2482.28282888919 kWh
True Error 57.9645303062612, average of 2594.33546969374 kWh
True Error 84.4923336168163, average of 2567.80766638318 kWh
Tue Oct 27 19:32:59 2015: Minimum: 124.35155802621, Scalar: 1.09017229775, Error:54.1351248834981
True Error 534.243582657113, average of 2118.05641734289 kWh
True Error 515.618538350785, average of 2136.68146164922 kWh
True Error 336.728586528426, average of 2315.57141347157 kWh
True Error 345.730011178087, average of 2306.56998882191 kWh
True Error 320.188274732975, average of 2332.11172526703 kWh
True Error 366.465055423824, average of 2285.83494457618 kWh
True Error 386.730006027681, average of 2265.56999397232 kWh
True Error 270.891807393305, average of 2381.4081926067 kWh
True Error 350.846760238187, average of 2301.45323976181 kWh
True Error 418.023640994249, average of 2234.27635900575 kWh
True Error 313.234874100876, average of 2339.06512589912 kWh
True Error 167.588409720595, average of 2484.71159027941 kWh
True Error 227.390994280142, average of 2424.90900571986 kWh
True Error 349.977308885151, average of 2302.32269111485 kWh
True Error 189.668137857623, average of 2462.63186214238 kWh
True Error 342.771025384815, average of 2309.52897461518 kWh
Tue Oct 27 20:23:03 2015: Minimum: 124.35155802621, Scalar: 1.09017229775, Error:33.4579124828079
True Error 160.155856424371, average of 2492.14414357563 kWh
True Error 5.72258661085652, average of 2646.57741338914 kWh
True Error 92.2228691758246, average of 2744.52286917582 kWh
True Error 56.4062398079891, average of 2708.70623980799 kWh
True Error 24.8955845235487, average of 2677.19558452355 kWh
True Error 5.10680462772552, average of 2657.40680462773 kWh
True Error 66.7386341271099, average of 2719.03863412711 kWh
True Error 136.454969744573, average of 2788.75496974457 kWh
True Error 114.576712467851, average of 2766.87671246785 kWh
True Error 228.315369902946, average of 2423.98463009705 kWh
True Error 112.776937492655, average of 2765.07693749265 kWh
True Error 263.124563170926, average of 2915.42456317093 kWh
True Error 107.134737045647, average of 2759.43473704565 kWh
True Error 209.957631254089, average of 2862.25763125409 kWh
True Error 226.926237483126, average of 2879.22623748313 kWh
True Error 144.717742833175, average of 2797.01774283318 kWh
Tue Oct 27 21:12:12 2015: Minimum: 72.9278656760039, Scalar: 1.22949688742843, Error:18.3347970073655
True Error 242.914130308189, average of 2409.38586969181 kWh
True Error 176.417112225365, average of 2828.71711222537 kWh
True Error 52.8704994917516, average of 2705.17049949175 kWh
True Error 128.58199228872, average of 2780.88199228872 kWh
True Error 70.3477363875772, average of 2722.64773638758 kWh
True Error 86.750189463211, average of 2739.05018946321 kWh
True Error 209.055138608249, average of 2861.35513860825 kWh
True Error 153.320173008575, average of 2805.62017300858 kWh
True Error 121.940595905377, average of 2774.24059590538 kWh
True Error 60.5394572848645, average of 2712.83945728486 kWh
True Error 190.903302117837, average of 2843.20330211784 kWh
True Error 296.941069880701, average of 2949.2410698807 kWh
True Error 186.131319085178, average of 2838.43131908518 kWh
True Error 368.857561450111, average of 3021.15756145011 kWh
True Error 267.350331271296, average of 2919.6503312713 kWh
True Error 165.485069979219, average of 2817.78506997922 kWh
Tue Oct 27 22:01:17 2015: Minimum: 72.9278656760039, Scalar: 1.22949688742843, Error:11.3317191930867
True Error 216.577762787977, average of 2435.72223721202 kWh
True Error 69.615674429288, average of 2582.68432557071 kWh
True Error 107.279126523898, average of 2545.0208734761 kWh
True Error 263.426556627466, average of 2388.87344337253 kWh
True Error 82.4872057009352, average of 2569.81279429906 kWh
True Error 143.713927215468, average of 2508.58607278453 kWh
True Error 75.5523559352114, average of 2727.85235593521 kWh
True Error 32.7778616630731, average of 2685.07786166307 kWh
True Error 58.0658806756305, average of 2594.23411932437 kWh
True Error 51.6874327632295, average of 2600.61256723677 kWh
True Error 146.183410482288, average of 2798.48341048229 kWh
True Error 96.2134366229625, average of 2748.51343662296 kWh
True Error 46.0183760925606, average of 2698.31837609256 kWh
True Error 104.969566337754, average of 2757.26956633775 kWh
True Error 143.438333909172, average of 2795.73833390917 kWh
True Error 1.87117725916232, average of 2654.17117725916 kWh
Tue Oct 27 22:51:38 2015: Minimum: 21.6143155263562, Scalar: 1.17627907390896, Error:7.32019117678078
True Error 335.578744069738, average of 2316.72125593026 kWh
True Error 269.398995688698, average of 2382.9010043113 kWh
True Error 174.575403766304, average of 2477.7245962337 kWh
True Error 98.8446824307953, average of 2553.4553175692 kWh
True Error 52.6640006807456, average of 2599.63599931925 kWh
True Error 106.079653194596, average of 2546.2203468054 kWh
True Error 119.344320776037, average of 2532.95567922396 kWh
True Error 19.3622629862457, average of 2632.93773701375 kWh
True Error 91.9097983204224, average of 2560.39020167958 kWh
True Error 121.923230256637, average of 2774.22323025664 kWh
True Error 77.5509998883103, average of 2729.85099988831 kWh
True Error 54.3276277457517, average of 2597.97237225425 kWh
True Error 52.5098706435529, average of 2599.79012935645 kWh
True Error 80.2820917309559, average of 2572.01790826904 kWh
True Error 136.173139596866, average of 2788.47313959687 kWh
True Error 71.8956876492211, average of 2580.40431235078 kWh
Tue Oct 27 23:39:55 2015: Minimum: 21.6143155263562, Scalar: 1.17627907390896, Error:4.52420339432544
True Error 44.0019721371937, average of 2608.29802786281 kWh
True Error 93.6874304457988, average of 2558.6125695542 kWh
True Error 265.532842901731, average of 2386.76715709827 kWh
True Error 227.090409793325, average of 2425.20959020667 kWh
True Error 11.3690982527937, average of 2663.66909825279 kWh
True Error 26.0602811215817, average of 2678.36028112158 kWh
True Error 6.68325447670532, average of 2658.98325447671 kWh
True Error 40.6864943565215, average of 2611.61350564348 kWh
True Error 12.1557182635847, average of 2664.45571826358 kWh
True Error 9.87565769493085, average of 2662.17565769493 kWh
True Error 227.335569251542, average of 2879.63556925154 kWh
True Error 3.32876410568952, average of 2648.97123589431 kWh
True Error 102.608337597257, average of 2754.90833759726 kWh
True Error 290.146777964853, average of 2942.44677796485 kWh
True Error 301.300432759175, average of 2953.60043275917 kWh
True Error 22.9205317463061, average of 2629.37946825369 kWh
Wed Oct 28 00:30:04 2015: Minimum: 18.1429176184915, Scalar: 1.19660668213899, Error:2.74859419740598
True Error 48.6989719579046, average of 2603.6010280421 kWh
True Error 241.466381883797, average of 2410.8336181162 kWh
True Error 106.078025529348, average of 2546.22197447065 kWh
True Error 5.53378176146134, average of 2657.83378176146 kWh
True Error 11.8200596455449, average of 2664.12005964555 kWh
True Error 26.4878353139748, average of 2625.81216468603 kWh
True Error 22.6817381796086, average of 2674.98173817961 kWh
True Error 39.0797423423865, average of 2691.37974234239 kWh
True Error 83.9386144352125, average of 2736.23861443521 kWh
True Error 210.464729657611, average of 2862.76472965761 kWh
True Error 95.395694920257, average of 2747.69569492026 kWh
True Error 268.194477648741, average of 2920.49447764874 kWh
