Ten minute period number,Active occupant count in time period,Probability of transition to zero active occupants in next time period,Probability of transition to one active occupant in next time period,Probability of transition to two active occupants in next time period,Probability of transition to three active occupants in next time period,Probability of transition to four active occupants in next time period,Probability of transition to five active occupants in next time period,Probability of transition to six active occupants in next time period
1,0,1.000,0.000,0.000,0.000,0.000,0.000,0
1,1,0.072,0.928,0.000,0.000,0.000,0.000,0
1,2,0.002,0.137,0.861,0.000,0.000,0.000,0
1,3,0.000,0.019,0.185,0.796,0.000,0.000,0
1,4,0.000,0.000,0.000,0.000,1.000,0.000,0
1,5,0.000,0.000,0.000,0.000,0.000,0.000,0
1,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.961,0.039,0.000,0.000,0.000,0.000,0
2,1,0.218,0.763,0.019,0.000,0.000,0.000,0
2,2,0.037,0.343,0.598,0.022,0.000,0.000,0
2,3,0.000,0.163,0.465,0.372,0.000,0.000,0
2,4,0.000,0.143,0.000,0.714,0.143,0.000,0
2,5,0.000,0.000,0.000,0.000,0.000,0.000,0
2,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,1.000,0.000,0.000,0.000,0.000,0.000,0
3,1,0.091,0.909,0.000,0.000,0.000,0.000,0
3,2,0.014,0.170,0.816,0.000,0.000,0.000,0
3,3,0.000,0.000,0.333,0.667,0.000,0.000,0
3,4,0.000,0.000,0.000,1.000,0.000,0.000,0
3,5,0.000,0.000,0.000,0.000,0.000,0.000,0
3,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,0,1.000,0.000,0.000,0.000,0.000,0.000,0
4,1,0.029,0.971,0.000,0.000,0.000,0.000,0
4,2,0.000,0.080,0.920,0.000,0.000,0.000,0
4,3,0.000,0.000,0.143,0.857,0.000,0.000,0
4,4,0.000,0.000,0.000,0.000,0.000,0.000,0
4,5,0.000,0.000,0.000,0.000,0.000,0.000,0
4,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,0,0.980,0.019,0.000,0.000,0.000,0.000,0
5,1,0.390,0.603,0.007,0.000,0.000,0.000,0
5,2,0.202,0.511,0.283,0.004,0.000,0.000,0
5,3,0.000,0.333,0.389,0.278,0.000,0.000,0
5,4,0.000,0.000,0.000,0.000,0.000,0.000,0
5,5,0.000,0.000,0.000,0.000,0.000,0.000,0
5,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,0,1.000,0.000,0.000,0.000,0.000,0.000,0
6,1,0.027,0.973,0.000,0.000,0.000,0.000,0
6,2,0.000,0.036,0.964,0.000,0.000,0.000,0
6,3,0.000,0.000,0.167,0.833,0.000,0.000,0
6,4,0.000,0.000,0.000,0.000,0.000,0.000,0
6,5,0.000,0.000,0.000,0.000,0.000,0.000,0
6,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7,0,1.000,0.000,0.000,0.000,0.000,0.000,0
7,1,0.024,0.976,0.000,0.000,0.000,0.000,0
7,2,0.000,0.037,0.963,0.000,0.000,0.000,0
7,3,0.000,0.000,0.000,1.000,0.000,0.000,0
7,4,0.000,0.000,0.000,0.000,0.000,0.000,0
7,5,0.000,0.000,0.000,0.000,0.000,0.000,0
7,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,0,0.989,0.011,0.000,0.000,0.000,0.000,0
8,1,0.255,0.737,0.008,0.000,0.000,0.000,0
8,2,0.051,0.291,0.646,0.013,0.000,0.000,0
8,3,0.000,0.400,0.200,0.400,0.000,0.000,0
8,4,0.000,0.000,0.000,0.000,0.000,0.000,0
8,5,0.000,0.000,0.000,0.000,0.000,0.000,0
8,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9,0,0.971,0.029,0.000,0.000,0.000,0.000,0
