Ten minute period number,Active occupant count in time period,Probability of transition to zero active occupants in next time period,Probability of transition to one active occupant in next time period,Probability of transition to two active occupants in next time period,Probability of transition to three active occupants in next time period,Probability of transition to four active occupants in next time period,Probability of transition to five active occupants in next time period,Probability of transition to six active occupants in next time period
1,0,0.984,0.016,0.000,0.000,0.000,0.000,0
1,1,0.055,0.924,0.021,0.000,0.000,0.000,0
1,2,0.007,0.116,0.870,0.007,0.000,0.000,0
1,3,0.000,0.000,0.232,0.768,0.000,0.000,0
1,4,0.000,0.000,0.000,0.000,0.000,0.000,0
1,5,0.000,0.000,0.000,0.000,0.000,0.000,0
1,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0,0.982,0.018,0.000,0.000,0.000,0.000,0
2,1,0.371,0.618,0.011,0.000,0.000,0.000,0
2,2,0.169,0.458,0.373,0.000,0.000,0.000,0
2,3,0.065,0.283,0.522,0.130,0.000,0.000,0
2,4,0.000,0.000,0.000,0.000,0.000,0.000,0
2,5,0.000,0.000,0.000,0.000,0.000,0.000,0
2,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0,1.000,0.000,0.000,0.000,0.000,0.000,0
3,1,0.043,0.957,0.000,0.000,0.000,0.000,0
3,2,0.000,0.107,0.893,0.000,0.000,0.000,0
3,3,0.000,0.000,0.000,1.000,0.000,0.000,0
3,4,0.000,0.000,0.000,0.000,0.000,0.000,0
3,5,0.000,0.000,0.000,0.000,0.000,0.000,0
3,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,0,1.000,0.000,0.000,0.000,0.000,0.000,0
4,1,0.000,1.000,0.000,0.000,0.000,0.000,0
4,2,0.000,0.000,1.000,0.000,0.000,0.000,0
4,3,0.000,0.000,0.000,1.000,0.000,0.000,0
4,4,0.000,0.000,0.000,0.000,0.000,0.000,0
4,5,0.000,0.000,0.000,0.000,0.000,0.000,0
4,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,0,1.000,0.000,0.000,0.000,0.000,0.000,0
5,1,0.254,0.746,0.000,0.000,0.000,0.000,0
5,2,0.038,0.421,0.541,0.000,0.000,0.000,0
5,3,0.000,0.500,0.167,0.333,0.000,0.000,0
5,4,0.000,0.000,0.000,0.000,0.000,0.000,0
5,5,0.000,0.000,0.000,0.000,0.000,0.000,0
5,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,0,0.947,0.052,0.001,0.000,0.000,0.000,0
6,1,0.105,0.854,0.041,0.000,0.000,0.000,0
6,2,0.020,0.190,0.780,0.010,0.000,0.000,0
6,3,0.000,0.000,0.500,0.500,0.000,0.000,0
6,4,0.000,0.000,0.000,0.000,0.000,0.000,0
